Posicion_X_nm,Posicion_Y_nm,Posicion_Z_nm,Fuerza_X_N,Fuerza_Y_N,Fuerza_Z_N,Fuerza_Magnitud_N
-220,130,0,2.93784924642622e-16,-1.73600182743367e-16,1.98747932454491e-19,3.41242794644139e-16
-220,140,0,1.71202851373208e-16,-1.08947269055678e-16,1.15820010300927e-19,2.02928404042613e-16
-220,150,0,9.58563098912739e-17,-6.53565749258686e-17,6.48474345831611e-20,1.16016887724169e-16
-220,160,0,5.15654297314967e-17,-3.75021307138158e-17,3.48843167263488e-20,6.37605251576993e-17
-220,170,0,2.66516926347189e-17,-2.05944897631919e-17,1.80300056528761e-20,3.3681538771007e-17
-220,180,0,1.323485439784e-17,-1.08285172345963e-17,8.95343583451258e-21,1.7100240834444e-17
-220,190,0,6.31454052256018e-18,-5.45346681493834e-18,4.27180882838069e-21,8.34348491704989e-18
-220,200,0,2.89462664023436e-18,-2.63147876384941e-18,1.95822284608176e-21,3.91197491116464e-18
-220,210,0,1.27488663069425e-18,-1.21693723838996e-18,8.62463327993952e-22,1.76246217183408e-18
-220,220,0,5.39484274383255e-19,-5.39484274383255e-19,3.64961777797934e-22,7.62946064811106e-19
-220,230,0,2.19338173564872e-19,-2.29308090545094e-19,1.48382385818247e-22,3.17319171796385e-19
-220,240,0,8.56796857815888e-20,-9.34687481253696e-20,5.79622901777896e-23,1.26796761754323e-19
-220,250,0,3.21565698613696e-20,-3.65415566606473e-20,2.17538908186883e-23,4.86757724300726e-20
-210,-250,0,7.25369343883244e-20,8.63534933194338e-20,5.14079397176453e-23,1.12776483815119e-19
-210,-240,0,1.93271277858412e-19,2.20881460409614e-19,1.36974205864725e-22,2.93500298397873e-19
-210,-230,0,4.94770327218792e-19,5.41891310763439e-19,3.50651421802576e-22,7.33787429936987e-19
-210,-220,0,1.21693723838996e-18,1.27488663069425e-18,8.62463327993952e-22,1.76246217183408e-18
-210,-210,0,2.87581485882424e-18,2.87581485882424e-18,2.03813943647131e-21,4.06701688691858e-18
-210,-200,0,6.52952928838905e-18,6.21859932227529e-18,4.62759525936333e-21,9.01697020476229e-18
-210,-190,0,1.42439694862687e-17,1.28874009637669e-17,1.00949707142272e-20,1.92087446813967e-17
-210,-180,0,2.9854404019144e-17,2.55894891592663e-17,2.11584076376846e-20,3.93205778498829e-17
-210,-170,0,6.01193102793092e-17,4.86680130832503e-17,4.26078006660739e-20,7.73492649050782e-17
-210,-160,0,1.16318230750395e-16,8.86234139050627e-17,8.24372461143209e-20,1.4623285230409e-16
-210,-150,0,2.16226940454571e-16,1.54447814610408e-16,1.53244908494295e-19,2.65722111801554e-16
-210,-140,0,3.86189124081135e-16,2.5745941605409e-16,2.7370129588728e-19,4.64141643666959e-16
-210,-130,0,6.62702331520798e-16,4.10244300465256e-16,4.69673301931007e-19,7.79406817304249e-16
-210,-120,0,1.09261003797535e-15,6.24348593128774e-16,7.74360363172978e-19,1.25841505889764e-15
-210,-110,0,1.73077297942959e-15,9.06595370177405e-16,1.22664410631235e-18,1.95384026373868e-15
-210,-100,0,2.63416675704417e-15,1.25436512240198e-15,1.86690517223247e-18,2.91757945042634e-15
-210,-90,0,3.85189700923916e-15,1.65081300395964e-15,2.72994666328926e-18,4.19073998196459e-15
-210,-80,0,5.41170753763751e-15,2.06160287148095e-15,3.83543198695381e-18,5.79109657864205e-15
-210,-70,0,7.30503373424609e-15,2.4350112447487e-15,5.17729164844658e-18,7.70018340202847e-15
-210,-60,0,9.47410941208607e-15,2.70688840345316e-15,6.71458530631196e-18,9.85322480544227e-15
-210,-50,0,1.18054578416899e-14,2.81082329564044e-15,8.3668885057374e-18,1.21354700138089e-14
-210,-40,0,1.41336895591297e-14,2.69213134459613e-15,1.00169841943714e-17,1.43878021973608e-14
-210,-30,0,1.62576040115277e-14,2.32251485878967e-15,1.15222744623509e-17,1.64226641026281e-14
-210,-20,0,1.79674240888335e-14,1.71118324655557e-15,1.27340826458748e-17,1.8048729557732e-14
-210,-10,0,1.90784629844479e-14,9.08498237354663e-16,1.35215143401182e-17,1.91000864324635e-14
-210,0,0,1.9463871941018e-14,0,1.37946670489793e-17,1.94638768293777e-14
-210,10,0,1.90784629844479e-14,-9.08498237354663e-16,1.35215143401182e-17,1.91000864324635e-14
