Posicion_X_nm,Posicion_Y_nm,Fuerza_X_N,Fuerza_Y_N
-250,96.9387755102041,8.92386573008103E-17,-3.46027446676611E-17
-250,107.142857142857,5.8839958807369E-17,-2.52171252031582E-17
-250,117.34693877551,3.72137663131972E-17,-1.74676862286436E-17
-250,127.551020408163,2.25759911154543E-17,-1.15183628140073E-17
-250,137.755102040816,1.31371741828346E-17,-7.23885108033742E-18
-250,147.959183673469,7.33278622586468E-18,-4.33981225612399E-18
-250,158.163265306122,3.92597946195374E-18,-2.48378292490951E-18
-250,168.367346938775,2.01622481621453E-18,-1.35786569255264E-18
-250,178.571428571429,9.93211688000895E-19,-7.09436920000639E-19
-250,188.775510204082,4.69306555527077E-19,-3.54374337846976E-19
-250,198.979591836735,2.12707769284675E-19,-1.69298020451068E-19
-250,209.183673469388,9.24745057279241E-20,-7.73766272417324E-20
-250,219.387755102041,3.85631602960595E-20,-3.38411406679705E-20
-250,229.591836734694,1.54253543654301E-20,-1.41661417641705E-20
-250,239.795918367347,5.91847224516289E-21,-5.67690194944195E-21
-250,250,2.178191274956E-21,-2.178191274956E-21
-239.795918367347,-250,5.67690194944195E-21,5.91847224516289E-21
-239.795918367347,-239.795918367347,1.54249936691077E-20,1.54249936691077E-20
-239.795918367347,-229.591836734694,4.02022656480465E-20,3.8491530939619E-20
-239.795918367347,-219.387755102041,1.00505076105451E-19,9.19514526071149E-20
-239.795918367347,-209.183673469388,2.41011295875377E-19,2.10243896401924E-19
-239.795918367347,-198.979591836735,5.54368738870692E-19,4.6000810246717E-19
-239.795918367347,-188.775510204082,1.22312825810888E-18,9.62888203192099E-19
-239.795918367347,-178.571428571429,2.58855383026549E-18,1.92764646934664E-18
-239.795918367347,-168.367346938775,5.25477754011821E-18,3.68952465582768E-18
-239.795918367347,-158.163265306122,1.02320676413351E-17,6.7488105719444E-18
-239.795918367347,-147.959183673469,1.91110435980675E-17,1.17919205179566E-17
-239.795918367347,-137.755102040816,3.42387055657019E-17,1.966904362285E-17
-239.795918367347,-127.551020408163,5.88385829325518E-17,3.12971185811446E-17
-239.795918367347,-117.34693877551,9.69882236511494E-17,4.74623222122646E-17
-239.795918367347,-107.142857142857,1.5335139787801E-16,6.85187096901748E-17
-239.795918367347,-96.9387755102041,2.32577879373429E-16,9.40208448530884E-17
-239.795918367347,-86.734693877551,3.38345969052124E-16,1.22380456891194E-16
-239.795918367347,-76.530612244898,4.7213428694116E-16,1.50681155406753E-16
-239.795918367347,-66.3265306122449,6.31948965981093E-16,1.74794394845834E-16
-239.795918367347,-56.1224489795918,8.11354049124135E-16,1.89891373199266E-16
-239.795918367347,-45.9183673469388,9.99196125803465E-16,1.91335428345344E-16
-239.795918367347,-35.7142857142857,1.18032881172907E-15,1.75793652810713E-16
-239.795918367347,-25.5102040816326,1.33741813712534E-15,1.422785252261E-16
-239.795918367347,-15.3061224489796,1.45359473725074E-15,9.2782642803239E-17
-239.795918367347,-5.10204081632653,1.51541439617286E-15,3.22428594930397E-17
-239.795918367347,5.10204081632653,1.51541439617286E-15,-3.22428594930397E-17
-239.795918367347,15.3061224489796,1.45359473725074E-15,-9.2782642803239E-17
-239.795918367347,25.5102040816326,1.33741813712534E-15,-1.422785252261E-16
-239.795918367347,35.7142857142857,1.18032881172907E-15,-1.75793652810713E-16
-239.795918367347,45.9183673469388,9.99196125803465E-16,-1.91335428345344E-16
-239.795918367347,56.1224489795918,8.11354049124135E-16,-1.89891373199266E-16
-239.795918367347,66.3265306122449,6.31948965981093E-16,-1.74794394845834E-16
-239.795918367347,76.530612244898,4.7213428694116E-16,-1.50681155406753E-16
-239.795918367347,86.734693877551,3.38345969052124E-16,-1.22380456891194E-16
-239.795918367347,96.9387755102041,2.32577879373429E-16,-9.40208448530884E-17
-239.795918367347,107.142857142857,1.5335139787801E-16,-6.85187096901748E-17
-239.795918367347,117.34693877551,9.69882236511494E-17,-4.74623222122646E-17
-239.795918367347,127.551020408163,5.88385829325518E-17,-3.12971185811446E-17
-239.795918367347,137.755102040816,3.42387055657019E-17,-1.966904362285E-17
-239.795918367347,147.959183673469,1.91110435980675E-17,-1.17919205179566E-17
-239.795918367347,158.163265306122,1.02320676413351E-17,-6.7488105719444E-18
-239.795918367347,168.367346938775,5.25477754011821E-18,-3.68952465582768E-18
-239.795918367347,178.571428571429,2.58855383026549E-18,-1.92764646934664E-18
-239.795918367347,188.775510204082,1.22312825810888E-18,-9.62888203192099E-19
-239.795918367347,198.979591836735,5.54368738870692E-19,-4.6000810246717E-19
-239.795918367347,209.183673469388,2.41011295875377E-19,-2.10243896401924E-19
-239.795918367347,219.387755102041,1.00505076105451E-19,-9.19514526071149E-20
-239.795918367347,229.591836734694,4.02022656480465E-20,-3.8491530939619E-20
-239.795918367347,239.795918367347,1.54249936691077E-20,-1.54249936691077E-20
-239.795918367347,250,5.67690194944195E-21,-5.91847224516289E-21
-229.591836734694,-250,1.41661417641705E-20,1.54253543654301E-20
-229.591836734694,-239.795918367347,3.8491530939619E-20,4.02022656480465E-20
-229.591836734694,-229.591836734694,1.00320738227235E-19,1.00320738227235E-19
-229.591836734694,-219.387755102041,2.50800378236335E-19,2.39653694759165E-19
-229.591836734694,-209.183673469388,6.01419614879718E-19,5.47960093557077E-19
-229.591836734694,-198.979591836735,1.38337181343356E-18,1.19892223830908E-18
-229.591836734694,-188.775510204082,3.05219439308453E-18,2.50958205653617E-18
-229.591836734694,-178.571428571429,6.45947751967706E-18,5.02403807085993E-18
-229.591836734694,-168.367346938775,1.31127724656302E-17,9.61603314146214E-18
-229.591836734694,-158.163265306122,2.55331027449695E-17,1.75894707798679E-17
-229.591836734694,-147.959183673469,4.76897003477483E-17,3.07333624463267E-17
-229.591836734694,-137.755102040816,8.54392697261452E-17,5.12635618356871E-17
-229.591836734694,-127.551020408163,1.46825806478945E-16,8.15698924883031E-17
-229.591836734694,-117.34693877551,2.42024424226306E-16,1.23701372382334E-16
-229.591836734694,-107.142857142857,3.82673095542251E-16,1.78580777919717E-16
-229.591836734694,-96.9387755102041,5.8037486639211E-16,2.45047165810002E-16
-229.591836734694,-86.734693877551,8.44308569292897E-16,3.18961015066206E-16
-229.591836734694,-76.530612244898,1.17816395282676E-15,3.92721317608919E-16
-229.591836734694,-66.3265306122449,1.5769655209089E-15,4.5556781715146E-16
-229.591836734694,-56.1224489795918,2.02465298559719E-15,4.9491517425709E-16
-229.591836734694,-45.9183673469388,2.49339412490652E-15,4.98678824981304E-16
-229.591836734694,-35.7142857142857,2.94539264977311E-15,4.58172189964705E-16
-229.591836734694,-25.5102040816326,3.33739337006589E-15,3.70821485562876E-16
-229.591836734694,-15.3061224489796,3.62730047110818E-15,2.41820031407212E-16
-229.591836734694,-5.10204081632653,3.78156525494754E-15,8.40347834432786E-17
-229.591836734694,5.10204081632653,3.78156525494754E-15,-8.40347834432786E-17
-229.591836734694,15.3061224489796,3.62730047110818E-15,-2.41820031407212E-16
-229.591836734694,25.5102040816326,3.33739337006589E-15,-3.70821485562876E-16
-229.591836734694,35.7142857142857,2.94539264977311E-15,-4.58172189964705E-16
-229.591836734694,45.9183673469388,2.49339412490652E-15,-4.98678824981304E-16
-229.591836734694,56.1224489795918,2.02465298559719E-15,-4.9491517425709E-16
-229.591836734694,66.3265306122449,1.5769655209089E-15,-4.5556781715146E-16
-229.591836734694,76.530612244898,1.17816395282676E-15,-3.92721317608919E-16
-229.591836734694,86.734693877551,8.44308569292897E-16,-3.18961015066206E-16
-229.591836734694,96.9387755102041,5.8037486639211E-16,-2.45047165810002E-16
-229.591836734694,107.142857142857,3.82673095542251E-16,-1.78580777919717E-16
-229.591836734694,117.34693877551,2.42024424226306E-16,-1.23701372382334E-16
-229.591836734694,127.551020408163,1.46825806478945E-16,-8.15698924883031E-17
-229.591836734694,137.755102040816,8.54392697261452E-17,-5.12635618356871E-17
-229.591836734694,147.959183673469,4.76897003477483E-17,-3.07333624463267E-17
-229.591836734694,158.163265306122,2.55331027449695E-17,-1.75894707798679E-17
-229.591836734694,168.367346938775,1.31127724656302E-17,-9.61603314146214E-18
-229.591836734694,178.571428571429,6.45947751967706E-18,-5.02403807085993E-18
-229.591836734694,188.775510204082,3.05219439308453E-18,-2.50958205653617E-18
-229.591836734694,198.979591836735,1.38337181343356E-18,-1.19892223830908E-18
-229.591836734694,209.183673469388,6.01419614879718E-19,-5.47960093557077E-19
-229.591836734694,219.387755102041,2.50800378236335E-19,-2.39653694759165E-19
-229.591836734694,229.591836734694,1.00320738227235E-19,-1.00320738227235E-19
-229.591836734694,239.795918367347,3.8491530939619E-20,-4.02022656480465E-20
-229.591836734694,250,1.41661417641705E-20,-1.54253543654301E-20
-219.387755102041,-250,3.38411406679705E-20,3.85631602960595E-20
-219.387755102041,-239.795918367347,9.19514526071149E-20,1.00505076105451E-19
-219.387755102041,-229.591836734694,2.39653694759165E-19,2.50800378236335E-19
-219.387755102041,-219.387755102041,5.9913073162614E-19,5.9913073162614E-19
-219.387755102041,-209.183673469388,1.43671622990051E-18,1.36989221920746E-18
-219.387755102041,-198.979591836735,3.30470221983871E-18,2.99728805985371E-18
-219.387755102041,-188.775510204082,7.29131061386422E-18,6.2739184351855E-18
-219.387755102041,-178.571428571429,1.5430883794939E-17,1.2560021693555E-17
-219.387755102041,-168.367346938775,3.13247731771315E-17,2.40399422057056E-17
-219.387755102041,-158.163265306122,6.09953885870544E-17,4.39734196790392E-17
-219.387755102041,-147.959183673469,1.1392472874785E-16,7.68329565973872E-17
-219.387755102041,-137.755102040816,2.04103727995574E-16,1.28158154787918E-16
-219.387755102041,-127.551020408163,3.5074848561286E-16,2.03923538147012E-16
-219.387755102041,-117.34693877551,5.78166075259298E-16,3.09251621650322E-16
-219.387755102041,-107.142857142857,9.14158157649979E-16,4.46449332805804E-16
-219.387755102041,-96.9387755102041,1.38644295820071E-15,6.12614330367754E-16
-219.387755102041,-86.734693877551,2.01694755963793E-15,7.97397872414995E-16
-219.387755102041,-76.530612244898,2.81448630978319E-15,9.8179754992437E-16
-219.387755102041,-66.3265306122449,3.76717337086206E-15,1.13891287956295E-15
-219.387755102041,-56.1224489795918,4.83664272392111E-15,1.23728069681703E-15
